trading_date,timestamp,script_name,direction,breakout_true,blocked_at,block_reason,block_value,close_price,volume,volume_ma20,ema_fast,ema_slow,ema_direction,kaufman_er,kaufman_threshold,kaufman_pass,adx,adx_prev,adx_threshold,adx_confirmed,rsi,davb_upper,davb_lower,davb_window,davb_vol_coeff,davb_breakout
2026-08-17,2026-08-17 13:20:02,NIFTY,LONG,FALSE,F3B_RSI_ENTRY,RSI not below long entry threshold (oversold gate),rsi=78.16 need<55.0,24348.7,34190.0,28187.25,24340.247487141765,24319.427299359122,BULL_HOLD,0.8383404864091261,0.4,TRUE,42.5776986201674,40.938198596777035,16.0,TRUE,78.16172885042509,24352.3,24284.2,10,36.62014104478396,
2026-08-17,2026-08-17 13:25:02,NIFTY,LONG,FALSE,F3B_RSI_ENTRY,RSI not below long entry threshold (oversold gate),rsi=75.30 need<55.0,24345.45,65.0,27147.25,24341.98165809451,24323.144828022112,BULL_HOLD,0.7366863905325098,0.4,TRUE,43.72884748121773,42.577700243220264,16.0,TRUE,75.30437016671215,24353.55,24287.55,10,36.53370359347185,
2026-08-17,2026-08-17 13:30:02,NIFTY,LONG,FALSE,F3B_RSI_ENTRY,RSI not below long entry threshold (oversold gate),rsi=77.18 need<55.0,24352.2,13650.0,27826.5,24347.536292486453,24330.785996097882,BULL_HOLD,0.7333333333333043,0.4,TRUE,46.00310148084459,44.908102177612484,16.0,TRUE,77.1818237560158,24354.85,24297.15,10,31.49713892333307,
2026-08-17,2026-08-17 13:35:02,NIFTY,LONG,FALSE,F3B_RSI_ENTRY,RSI not below long entry threshold (oversold gate),rsi=74.39 need<55.0,24349.35,65.0,26282.75,24347.28530610208,24332.9665680839,BULL_HOLD,0.52895752895742,0.4,TRUE,47.20718907833007,46.10022742848245,16.0,TRUE,74.3856625311489,24357.4,24302.5,10,30.852592905381094,
2026-08-17,2026-08-17 13:40:02,NIFTY,LONG,FALSE,F3B_RSI_ENTRY,RSI not below long entry threshold (oversold gate),rsi=71.76 need<55.0,24345.8,16315.0,27098.5,24346.10197276875,24332.459425226756,BULL_HOLD,0.4470477975631854,0.4,TRUE,46.195851343496415,46.10022742848245,16.0,TRUE,71.7645566247307,24357.4,24302.5,10,32.09279487211446,
2026-08-17,2026-08-17 13:45:02,NIFTY,LONG,FALSE,F3B_RSI_ENTRY,RSI not below long entry threshold (oversold gate),rsi=74.28 need<55.0,24353.25,195.0,26536.25,24348.4846485125,24335.42950733722,BULL_HOLD,0.45471349353042323,0.4,TRUE,46.67592762460781,46.19584112494721,16.0,TRUE,74.2770552213793,24357.4,24321.85,10,31.965568712479968,
2026-08-17,2026-08-17 13:50:02,NIFTY,LONG,FALSE,F2_KAUFMAN_ER,Kaufman ER chop/noise trap (overrides EMA),ER=0.1607 < thr=0.40,24343.2,130.0,27498.25,24346.723099008334,24336.539577717613,BULL_HOLD,0.16074450084600786,0.4,FALSE,47.178272061702884,46.67590252648251,16.0,TRUE,65.77424788907223,24357.7,24321.85,10,32.35434745985707,
2026-08-17,2026-08-17 13:55:02,NIFTY,LONG,FALSE,F2_KAUFMAN_ER,Kaufman ER chop/noise trap (overrides EMA),ER=0.0651 < thr=0.40,24341.35,9100.0,27946.75,24343.460266225928,24337.662750976204,BULL_HOLD,0.06512605042012953,0.4,FALSE,46.35801691093874,46.752941901306166,16.0,FALSE,63.93837246302076,24358.95,24335.2,10,28.59988728984536,
2026-08-17,2026-08-17 14:00:02,NIFTY,LONG,FALSE,F2_KAUFMAN_ER,Kaufman ER chop/noise trap (overrides EMA),ER=0.1648 < thr=0.40,24338.9,65.0,26731.25,24340.951288595064,24337.294602877566,BULL_HOLD,0.16475972540037462,0.4,FALSE,45.01111195751059,45.84977370815681,16.0,FALSE,61.88896740266742,24358.95,24333.05,10,28.714063658082317,
2026-08-17,2026-08-17 14:05:02,NIFTY,LONG,FALSE,F2_KAUFMAN_ER,Kaufman ER chop/noise trap (overrides EMA),ER=0.1187 < thr=0.40,24343.3,10920.0,27274.0,24342.256414618932,24338.44027185424,BULL_HOLD,0.11868131868135066,0.4,FALSE,44.62094131893207,45.212589201804484,16.0,FALSE,63.99456498456403,24358.95,24333.05,10,28.597142915198308,
2026-08-17,2026-08-17 14:10:02,NIFTY,LONG,FALSE,F2_KAUFMAN_ER,Kaufman ER chop/noise trap (overrides EMA),ER=0.1715 < thr=0.40,24341.25,0.0,25499.5,24341.573081285598,24338.147414711384,BULL_HOLD,0.17146144994247647,0.4,FALSE,44.62094131893207,45.212589201804484,16.0,FALSE,63.00449459455536,24358.95,24333.05,10,28.966280664690423,
2026-08-17,2026-08-17 14:15:02,NIFTY,LONG,FALSE,F2_KAUFMAN_ER,Kaufman ER chop/noise trap (overrides EMA),ER=0.2934 < thr=0.40,24330.5,260.0,26045.5,24337.8820541904,24337.054926895475,BULL_HOLD,0.2934249263984399,0.4,FALSE,42.79147649976473,44.620942729821444,16.0,FALSE,54.53576266745515,24358.95,24333.05,10,28.654775813618414,SHORT
